차품목,효능번호,카페인,향기준,contentId,"맛,향",personId
aa624,4,O,3,100624,287aa82,624
aa625,2,O,4,100625,193aa92,625
aa626,3,O,4,100626,92aa123,626
aa627,1,X,1,100627,27aa128,627
aa628,1,X,1,100628,359aa82,628
aa629,1,X,3,100629,351aa150,629
aa630,3,X,4,100630,125aa32,630
aa631,4,X,4,100631,124aa108,631
aa632,1,O,2,100632,32aa114,632
aa633,4,O,2,100633,6aa16,633
aa634,2,O,3,100634,87aa93,634
aa635,1,O,2,100635,381aa26,635
aa636,4,O,3,100636,76aa132,636
aa637,1,X,4,100637,168aa88,637
aa638,4,O,2,100638,439aa96,638
aa639,4,X,5,100639,355aa20,639
aa640,4,X,4,100640,201aa10,640
aa641,1,X,4,100641,458aa81,641
aa642,2,X,1,100642,269aa34,642
aa643,1,O,5,100643,376aa3,643
aa644,4,O,4,100644,195aa21,644
aa645,1,X,4,100645,320aa40,645
aa646,2,O,2,100646,209aa31,646
aa647,2,O,1,100647,291aa39,647
aa648,4,O,5,100648,123aa60,648
aa649,1,O,3,100649,298aa86,649
aa650,2,O,1,100650,413aa60,650
aa651,1,O,2,100651,271aa74,651
aa652,1,X,2,100652,82aa8,652
aa653,1,O,5,100653,375aa117,653
aa654,3,O,1,100654,98aa54,654
aa655,4,O,2,100655,177aa45,655
aa656,4,O,2,100656,27aa44,656
aa657,1,O,3,100657,370aa45,657
aa658,4,O,5,100658,148aa116,658
aa659,3,O,5,100659,498aa99,659
aa660,3,O,2,100660,156aa149,660
aa661,4,X,3,100661,404aa129,661
aa662,2,X,4,100662,277aa69,662
aa663,4,O,1,100663,337aa144,663
aa664,3,X,4,100664,355aa1,664
aa665,1,X,3,100665,425aa54,665
aa666,3,O,2,100666,265aa150,666
aa667,3,O,5,100667,475aa100,667
aa668,2,O,2,100668,209aa20,668
aa669,4,O,3,100669,293aa52,669
aa670,3,X,2,100670,239aa146,670
aa671,3,O,2,100671,485aa91,671
aa672,3,X,3,100672,73aa98,672
aa673,2,O,3,100673,434aa14,673
aa674,2,O,5,100674,35aa129,674
aa675,2,O,2,100675,417aa131,675
aa676,1,O,1,100676,209aa83,676
aa677,4,X,2,100677,51aa51,677
aa678,1,X,2,100678,110aa80,678
aa679,1,X,4,100679,40aa57,679
aa680,2,O,1,100680,482aa48,680
aa681,3,X,2,100681,401aa95,681
aa682,1,X,4,100682,20aa59,682
aa683,1,X,5,100683,150aa149,683
aa684,1,X,3,100684,119aa58,684
aa685,3,X,1,100685,129aa45,685
aa686,2,X,3,100686,463aa18,686
aa687,3,X,5,100687,438aa50,687
aa688,3,O,1,100688,34aa30,688
aa689,2,X,1,100689,173aa7,689
aa690,3,X,2,100690,381aa6,690
aa691,2,O,5,100691,423aa27,691
aa692,4,O,2,100692,209aa138,692
aa693,3,X,5,100693,225aa27,693
aa694,1,X,4,100694,129aa22,694
aa695,4,O,4,100695,444aa79,695
aa696,4,X,5,100696,144aa109,696
aa697,2,X,3,100697,256aa68,697
aa698,4,X,4,100698,197aa109,698
aa699,1,O,3,100699,219aa29,699
aa700,4,O,3,100700,365aa113,700
aa701,3,O,4,100701,104aa83,701
aa702,2,O,5,100702,11aa91,702
aa703,3,X,4,100703,464aa26,703
aa704,3,O,5,100704,499aa100,704
aa705,1,X,4,100705,125aa26,705
aa706,2,X,2,100706,275aa5,706
aa707,2,O,3,100707,71aa75,707
aa708,2,O,3,100708,405aa131,708
aa709,4,X,1,100709,405aa113,709
aa710,3,X,3,100710,396aa27,710
aa711,3,X,4,100711,358aa117,711
aa712,4,X,2,100712,374aa43,712
aa713,2,O,1,100713,37aa122,713
aa714,2,O,2,100714,458aa42,714
aa715,4,X,5,100715,370aa59,715
aa716,2,X,4,100716,389aa124,716
aa717,2,X,1,100717,456aa143,717
aa718,3,O,3,100718,266aa57,718
aa719,2,X,2,100719,253aa35,719
aa720,3,O,3,100720,445aa66,720
aa721,3,O,3,100721,343aa62,721
aa722,3,X,4,100722,446aa105,722
aa723,3,O,5,100723,182aa22,723
aa724,1,X,2,100724,435aa123,724
aa725,1,X,4,100725,85aa51,725
aa726,2,X,1,100726,114aa100,726
aa727,3,O,1,100727,357aa143,727
aa728,4,O,3,100728,97aa106,728
aa729,2,X,5,100729,303aa87,729
aa730,3,O,4,100730,102aa77,730
aa731,1,O,3,100731,57aa17,731
aa732,4,X,2,100732,26aa128,732
aa733,1,X,2,100733,436aa32,733
aa734,3,X,2,100734,251aa84,734
aa735,3,X,5,100735,265aa1,735
aa736,2,X,2,100736,242aa81,736
aa737,3,O,3,100737,395aa90,737
aa738,1,O,5,100738,266aa11,738
aa739,1,O,4,100739,343aa129,739
aa740,1,O,2,100740,328aa126,740
aa741,1,X,1,100741,276aa19,741
aa742,2,X,5,100742,126aa118,742
aa743,2,X,5,100743,281aa37,743
aa744,3,X,4,100744,126aa54,744
aa745,1,O,1,100745,131aa84,745
aa746,2,O,1,100746,69aa2,746
aa747,1,O,3,100747,499aa43,747
aa748,3,X,3,100748,499aa110,748
aa749,3,X,2,100749,313aa149,749
aa750,1,O,5,100750,131aa61,750
aa751,3,O,4,100751,222aa62,751
aa752,3,X,2,100752,148aa102,752
aa753,3,X,3,100753,367aa71,753
aa754,3,O,3,100754,246aa50,754
aa755,1,O,2,100755,406aa115,755
aa756,3,O,5,100756,3aa100,756
aa757,1,O,4,100757,4aa32,757
aa758,4,O,3,100758,417aa135,758
aa759,2,X,1,100759,236aa41,759
aa760,4,X,4,100760,166aa39,760
aa761,3,O,1,100761,115aa65,761
aa762,3,O,4,100762,443aa83,762
aa763,3,O,2,100763,181aa39,763
aa764,3,O,4,100764,423aa6,764
aa765,2,O,4,100765,370aa124,765
aa766,2,O,5,100766,208aa52,766
aa767,1,X,5,100767,113aa114,767
aa768,4,X,1,100768,314aa30,768
aa769,1,O,1,100769,359aa103,769
aa770,1,X,1,100770,37aa123,770
aa771,2,O,2,100771,489aa64,771
aa772,4,O,5,100772,271aa103,772
aa773,1,X,4,100773,310aa90,773
aa774,2,X,5,100774,111aa76,774
aa775,2,X,2,100775,95aa9,775
aa776,1,O,4,100776,313aa12,776
aa777,2,O,1,100777,362aa121,777
aa778,3,O,2,100778,445aa7,778
aa779,3,O,4,100779,354aa116,779
aa780,4,O,4,100780,304aa147,780
aa781,2,O,2,100781,408aa26,781
aa782,2,X,4,100782,429aa145,782
aa783,4,O,3,100783,192aa116,783
aa784,4,O,2,100784,281aa15,784
aa785,3,O,4,100785,486aa119,785
aa786,4,O,3,100786,433aa4,786
aa787,1,X,5,100787,474aa116,787
aa788,3,X,3,100788,333aa143,788
aa789,4,X,4,100789,251aa28,789
aa790,2,O,1,100790,473aa39,790
aa791,2,O,3,100791,494aa4,791
aa792,2,O,3,100792,51aa25,792
aa793,1,X,2,100793,496aa29,793
aa794,3,X,3,100794,437aa85,794
aa795,2,X,5,100795,33aa147,795
aa796,1,X,3,100796,38aa65,796
aa797,1,X,5,100797,241aa59,797
aa798,2,X,5,100798,378aa149,798
aa799,4,O,1,100799,480aa88,799
aa800,4,X,3,100800,479aa8,800
aa801,2,O,1,100801,380aa37,801
aa802,3,O,3,100802,367aa90,802
aa803,3,X,1,100803,12aa26,803
aa804,4,O,5,100804,280aa24,804
aa805,4,O,5,100805,402aa119,805
aa806,3,X,2,100806,410aa146,806
aa807,3,X,3,100807,336aa1,807
aa808,1,O,4,100808,259aa76,808
aa809,4,X,1,100809,156aa150,809
aa810,2,O,3,100810,424aa50,810
aa811,3,X,5,100811,1aa67,811
aa812,3,X,4,100812,412aa138,812
aa813,3,X,3,100813,199aa113,813
aa814,4,O,4,100814,282aa49,814
aa815,3,O,1,100815,263aa109,815
aa816,2,X,3,100816,231aa56,816
aa817,1,O,5,100817,188aa64,817
aa818,2,O,1,100818,412aa53,818
aa819,2,X,2,100819,16aa57,819
aa820,1,O,4,100820,93aa100,820
aa821,4,X,5,100821,349aa20,821
aa822,2,X,3,100822,467aa93,822
aa823,4,X,4,100823,290aa35,823
aa824,1,X,4,100824,202aa111,824
aa825,3,X,1,100825,497aa83,825
aa826,3,X,1,100826,50aa112,826
aa827,4,O,5,100827,306aa19,827
aa828,1,X,1,100828,102aa95,828
aa829,3,O,2,100829,130aa63,829
aa830,4,O,5,100830,8aa1,830
aa831,4,O,1,100831,91aa22,831
aa832,4,O,5,100832,249aa6,832
aa833,1,O,2,100833,73aa90,833
aa834,4,X,1,100834,284aa36,834
aa835,4,X,1,100835,167aa85,835
aa836,4,X,1,100836,146aa73,836
aa837,4,O,1,100837,197aa125,837
aa838,4,X,3,100838,332aa49,838
aa839,3,O,4,100839,291aa55,839
aa840,1,X,3,100840,39aa27,840
aa841,3,O,5,100841,190aa11,841
aa842,2,O,5,100842,100aa50,842
aa843,2,O,4,100843,259aa60,843
aa844,3,X,1,100844,178aa63,844
aa845,4,X,2,100845,395aa71,845
aa846,1,O,4,100846,63aa37,846
aa847,3,O,1,100847,282aa28,847
aa848,2,X,3,100848,137aa101,848
aa849,1,X,1,100849,214aa141,849
aa850,4,O,3,100850,336aa59,850
aa851,4,O,4,100851,412aa46,851
aa852,1,O,2,100852,203aa44,852
aa853,2,X,2,100853,67aa64,853
aa854,3,O,5,100854,333aa57,854
aa855,2,X,1,100855,37aa66,855
aa856,4,X,1,100856,319aa116,856
aa857,1,X,5,100857,420aa106,857
aa858,3,X,2,100858,498aa120,858
aa859,4,O,1,100859,441aa6,859
aa860,1,O,2,100860,97aa115,860
aa861,3,O,5,100861,371aa135,861
aa862,3,X,3,100862,95aa62,862
aa863,1,X,3,100863,419aa90,863
aa864,1,X,4,100864,387aa86,864
aa865,2,O,3,100865,303aa82,865
aa866,3,X,1,100866,66aa11,866
aa867,4,O,3,100867,461aa87,867
aa868,3,O,3,100868,416aa61,868
aa869,2,O,3,100869,93aa52,869
aa870,4,O,1,100870,438aa33,870
aa871,1,X,3,100871,495aa138,871
aa872,3,O,5,100872,480aa22,872
aa873,1,O,5,100873,390aa71,873
aa874,1,X,5,100874,311aa149,874
aa875,4,O,1,100875,195aa35,875
aa876,2,O,4,100876,209aa125,876
aa877,1,O,2,100877,453aa88,877
aa878,4,X,1,100878,394aa2,878
aa879,1,O,3,100879,349aa83,879
aa880,1,O,1,100880,385aa102,880
aa881,1,X,1,100881,51aa61,881
aa882,2,O,1,100882,108aa109,882
aa883,3,X,3,100883,292aa116,883
aa884,2,O,2,100884,330aa122,884
aa885,2,O,4,100885,426aa141,885
aa886,2,O,2,100886,256aa66,886
aa887,1,O,5,100887,395aa101,887
aa888,3,O,5,100888,352aa85,888
aa889,3,O,2,100889,316aa50,889
aa890,2,X,4,100890,246aa140,890
aa891,3,X,5,100891,132aa85,891
aa892,4,X,1,100892,254aa64,892
aa893,3,O,2,100893,48aa51,893
aa894,3,O,5,100894,387aa109,894
aa895,1,X,1,100895,188aa91,895
aa896,2,O,4,100896,405aa88,896
aa897,2,O,5,100897,183aa63,897
aa898,2,O,3,100898,241aa139,898
aa899,4,O,5,100899,147aa103,899
aa900,2,O,5,100900,382aa23,900
aa901,1,X,2,100901,233aa69,901
aa902,3,O,1,100902,36aa118,902
aa903,3,X,5,100903,235aa144,903
aa904,4,O,5,100904,156aa145,904
aa905,4,O,4,100905,432aa20,905
aa906,4,O,2,100906,150aa117,906
aa907,2,X,3,100907,127aa6,907
aa908,4,O,4,100908,361aa3,908
aa909,3,O,1,100909,81aa128,909
aa910,3,X,5,100910,146aa57,910
aa911,4,O,5,100911,313aa111,911
aa912,4,X,2,100912,114aa83,912
aa913,4,O,4,100913,440aa58,913
aa914,4,O,3,100914,381aa65,914
aa915,4,O,3,100915,35aa76,915
aa916,3,O,1,100916,395aa108,916
aa917,2,O,3,100917,196aa9,917
aa918,1,O,3,100918,169aa27,918
aa919,2,X,1,100919,276aa70,919
aa920,4,X,4,100920,2aa138,920
aa921,2,O,5,100921,487aa95,921
aa922,1,O,5,100922,10aa128,922
aa923,1,X,2,100923,320aa8,923
aa924,3,O,2,100924,54aa111,924
aa925,4,O,3,100925,492aa111,925
aa926,1,O,2,100926,380aa144,926
aa927,1,X,4,100927,371aa48,927
aa928,2,O,5,100928,67aa74,928
aa929,3,O,1,100929,78aa3,929
aa930,4,O,3,100930,88aa21,930
aa931,1,X,2,100931,230aa128,931
aa932,1,X,3,100932,88aa70,932
aa933,1,O,1,100933,13aa121,933
aa934,2,O,2,100934,187aa101,934
aa935,1,O,2,100935,47aa40,935
aa936,4,O,3,100936,392aa102,936
aa937,3,X,4,100937,245aa74,937
aa938,1,O,5,100938,456aa96,938
aa939,4,O,2,100939,120aa62,939
aa940,3,O,5,100940,242aa53,940
aa941,2,X,1,100941,238aa78,941
aa942,1,O,2,100942,442aa92,942
aa943,1,X,1,100943,271aa22,943
aa944,2,O,3,100944,211aa147,944
aa945,3,X,1,100945,369aa141,945
aa946,4,O,5,100946,59aa15,946
aa947,1,O,4,100947,272aa109,947
aa948,4,X,3,100948,66aa150,948
aa949,1,O,3,100949,398aa99,949
aa950,3,X,1,100950,259aa75,950
aa951,3,O,1,100951,340aa128,951
aa952,4,O,4,100952,218aa20,952
aa953,2,O,1,100953,486aa43,953
aa954,1,X,3,100954,256aa115,954
aa955,2,X,1,100955,199aa51,955
aa956,4,O,2,100956,229aa46,956
aa957,2,O,2,100957,288aa91,957
aa958,2,X,1,100958,322aa95,958
aa959,3,O,3,100959,192aa61,959
aa960,1,X,1,100960,384aa34,960
aa961,4,O,3,100961,101aa100,961
aa962,4,O,4,100962,135aa79,962
aa963,1,O,3,100963,466aa82,963
aa964,2,X,5,100964,329aa88,964
aa965,3,X,1,100965,79aa75,965
aa966,4,X,2,100966,199aa4,966
aa967,4,X,4,100967,216aa18,967
aa968,3,X,2,100968,264aa126,968
aa969,3,O,3,100969,5aa74,969
aa970,4,O,5,100970,321aa4,970
aa971,3,X,3,100971,494aa68,971
aa972,2,O,5,100972,207aa103,972
aa973,3,O,2,100973,130aa51,973
aa974,2,O,5,100974,153aa73,974
aa975,3,X,2,100975,73aa104,975
aa976,3,O,4,100976,314aa19,976
aa977,1,O,1,100977,78aa95,977
aa978,3,X,4,100978,295aa119,978
aa979,2,X,2,100979,382aa22,979
aa980,4,X,3,100980,263aa21,980
aa981,3,X,1,100981,302aa17,981
aa982,4,O,2,100982,459aa118,982
aa983,3,X,2,100983,500aa55,983
aa984,2,X,4,100984,202aa150,984
aa985,4,X,4,100985,113aa74,985
aa986,3,O,5,100986,201aa56,986
aa987,4,X,3,100987,210aa117,987
aa988,1,X,2,100988,261aa37,988
aa989,3,O,4,100989,268aa141,989
aa990,4,X,2,100990,209aa116,990
aa991,3,O,2,100991,124aa2,991
aa992,4,X,3,100992,120aa31,992
aa993,3,X,2,100993,118aa26,993
aa994,2,X,1,100994,160aa64,994
aa995,2,O,1,100995,358aa112,995
aa996,4,O,4,100996,148aa36,996
aa997,4,O,4,100997,327aa27,997
aa998,1,X,3,100998,132aa72,998
aa999,2,O,1,100999,280aa45,999
aa1000,1,O,2,101000,96aa73,1000
aa1001,3,X,4,101001,137aa86,1001
aa1002,4,O,5,101002,86aa135,1002
aa1003,3,X,5,101003,316aa114,1003
aa1004,1,O,4,101004,363aa57,1004
aa1005,3,X,1,101005,218aa84,1005
aa1006,1,X,3,101006,403aa40,1006
aa1007,3,O,4,101007,317aa117,1007
aa1008,3,O,4,101008,311aa101,1008
aa1009,2,O,5,101009,57aa80,1009
aa1010,1,X,2,101010,492aa16,1010
aa1011,4,O,4,101011,496aa149,1011
aa1012,1,O,2,101012,153aa17,1012
aa1013,3,O,2,101013,429aa45,1013
aa1014,1,O,2,101014,454aa141,1014
aa1015,1,X,2,101015,415aa5,1015
aa1016,3,O,3,101016,402aa123,1016
aa1017,2,O,1,101017,421aa140,1017
aa1018,2,X,3,101018,309aa132,1018
aa1019,3,X,2,101019,46aa33,1019
aa1020,2,O,5,101020,380aa25,1020
aa1021,2,O,3,101021,14aa36,1021
aa1022,1,O,5,101022,289aa133,1022
aa1023,3,O,4,101023,392aa121,1023
aa1024,1,X,3,101024,287aa54,1024
aa1025,2,X,3,101025,243aa129,1025
aa1026,3,O,1,101026,192aa101,1026
aa1027,4,X,4,101027,163aa138,1027
aa1028,2,X,2,101028,339aa100,1028
aa1029,1,X,2,101029,401aa146,1029
aa1030,2,X,3,101030,297aa27,1030
aa1031,2,O,5,101031,24aa14,1031
aa1032,1,X,4,101032,465aa27,1032
aa1033,4,X,2,101033,320aa102,1033
aa1034,3,X,5,101034,341aa108,1034
aa1035,4,O,1,101035,402aa62,1035
aa1036,3,O,4,101036,66aa45,1036
aa1037,3,X,2,101037,207aa141,1037
aa1038,3,X,4,101038,62aa108,1038
aa1039,3,X,3,101039,352aa47,1039
aa1040,3,O,1,101040,339aa118,1040
aa1041,4,O,1,101041,43aa31,1041
aa1042,2,O,5,101042,304aa18,1042
aa1043,2,X,5,101043,493aa148,1043
aa1044,1,O,5,101044,156aa64,1044
aa1045,4,O,2,101045,50aa90,1045
aa1046,4,O,3,101046,178aa53,1046
aa1047,2,X,1,101047,497aa60,1047
aa1048,1,O,4,101048,20aa60,1048
aa1049,4,O,1,101049,210aa121,1049
aa1050,4,X,3,101050,296aa149,1050
aa1051,1,X,3,101051,149aa150,1051
aa1052,2,O,5,101052,69aa26,1052
aa1053,4,X,4,101053,361aa77,1053
aa1054,1,X,3,101054,59aa149,1054
aa1055,1,X,5,101055,469aa141,1055
aa1056,1,X,3,101056,148aa16,1056
aa1057,1,X,2,101057,339aa80,1057
aa1058,3,X,4,101058,10aa89,1058
aa1059,1,O,4,101059,384aa6,1059
aa1060,3,O,5,101060,446aa90,1060
aa1061,3,X,3,101061,198aa75,1061
aa1062,3,O,4,101062,252aa116,1062
aa1063,3,O,4,101063,485aa43,1063
aa1064,4,O,4,101064,195aa145,1064
aa1065,3,O,3,101065,480aa35,1065
aa1066,2,X,2,101066,427aa64,1066
aa1067,4,O,4,101067,320aa4,1067
aa1068,2,O,4,101068,423aa121,1068
aa1069,4,O,2,101069,57aa109,1069
aa1070,4,X,3,101070,254aa17,1070
aa1071,1,X,1,101071,277aa107,1071
aa1072,1,O,4,101072,285aa21,1072
aa1073,2,O,2,101073,28aa106,1073
aa1074,1,O,2,101074,134aa60,1074
aa1075,3,O,1,101075,3aa52,1075
aa1076,1,O,2,101076,441aa8,1076
aa1077,4,X,3,101077,184aa133,1077
aa1078,1,X,4,101078,316aa136,1078
aa1079,2,O,1,101079,407aa74,1079
aa1080,2,X,4,101080,6aa4,1080
aa1081,1,X,3,101081,34aa119,1081
aa1082,1,X,1,101082,129aa137,1082
aa1083,1,X,3,101083,212aa145,1083
aa1084,4,O,1,101084,58aa133,1084
aa1085,4,O,1,101085,391aa39,1085
aa1086,4,X,2,101086,265aa93,1086
aa1087,1,O,1,101087,78aa11,1087
aa1088,2,O,2,101088,215aa55,1088
aa1089,2,O,2,101089,22aa76,1089
aa1090,4,O,1,101090,140aa2,1090
aa1091,2,O,3,101091,278aa86,1091
aa1092,2,O,1,101092,264aa43,1092
aa1093,3,O,3,101093,363aa133,1093
aa1094,1,O,2,101094,308aa59,1094
aa1095,3,X,3,101095,447aa24,1095
aa1096,1,X,4,101096,361aa58,1096
aa1097,4,X,2,101097,294aa29,1097
aa1098,4,O,2,101098,435aa74,1098
aa1099,4,O,4,101099,388aa103,1099
aa1100,1,O,3,101100,291aa114,1100
aa1101,2,X,2,101101,475aa102,1101
aa1102,3,O,5,101102,349aa32,1102
aa1103,3,O,2,101103,439aa131,1103
aa1104,4,X,2,101104,289aa137,1104
aa1105,2,O,1,101105,249aa92,1105
aa1106,4,O,3,101106,135aa6,1106
aa1107,4,X,3,101107,406aa119,1107
aa1108,1,X,2,101108,427aa72,1108
aa1109,3,O,5,101109,103aa80,1109
aa1110,1,O,5,101110,303aa1,1110
aa1111,3,O,2,101111,56aa127,1111
aa1112,4,X,5,101112,59aa76,1112
aa1113,3,X,5,101113,194aa12,1113
aa1114,1,O,2,101114,23aa53,1114
aa1115,3,O,4,101115,177aa69,1115
aa1116,3,O,3,101116,330aa63,1116
aa1117,4,X,1,101117,437aa71,1117
aa1118,4,O,4,101118,405aa115,1118
aa1119,4,X,1,101119,193aa55,1119
aa1120,2,X,3,101120,252aa86,1120
aa1121,2,X,2,101121,154aa91,1121
aa1122,2,O,4,101122,362aa39,1122
aa1123,1,O,3,101123,348aa73,1123
aa1124,3,X,2,101124,335aa68,1124
aa1125,1,O,2,101125,291aa115,1125
aa1126,4,O,3,101126,23aa104,1126
aa1127,4,O,4,101127,449aa75,1127
aa1128,1,X,3,101128,288aa75,1128
aa1129,1,O,2,101129,188aa148,1129
aa1130,1,X,4,101130,207aa129,1130
aa1131,3,O,2,101131,173aa148,1131
aa1132,1,X,2,101132,274aa78,1132
aa1133,2,X,5,101133,419aa6,1133
aa1134,3,X,4,101134,471aa44,1134
aa1135,4,O,1,101135,438aa32,1135
aa1136,2,O,2,101136,237aa117,1136
aa1137,4,O,1,101137,197aa147,1137
aa1138,3,O,3,101138,210aa92,1138
aa1139,2,X,5,101139,332aa82,1139
aa1140,2,X,1,101140,283aa105,1140
aa1141,4,X,1,101141,327aa63,1141
aa1142,1,O,1,101142,324aa81,1142
aa1143,1,O,4,101143,106aa74,1143
aa1144,1,O,2,101144,129aa21,1144
aa1145,1,X,1,101145,241aa55,1145
aa1146,4,O,1,101146,444aa77,1146
aa1147,2,O,2,101147,236aa51,1147
aa1148,2,X,1,101148,115aa56,1148
aa1149,4,X,2,101149,82aa100,1149
aa1150,1,X,3,101150,226aa145,1150
aa1151,4,X,4,101151,38aa71,1151
aa1152,1,O,2,101152,270aa96,1152
aa1153,4,O,5,101153,351aa20,1153
aa1154,2,X,1,101154,205aa27,1154
aa1155,2,X,5,101155,350aa39,1155
aa1156,1,X,5,101156,455aa52,1156
aa1157,1,X,5,101157,128aa39,1157
aa1158,4,X,2,101158,207aa121,1158
aa1159,4,X,3,101159,275aa88,1159
aa1160,4,O,3,101160,53aa127,1160
aa1161,4,O,3,101161,339aa84,1161
aa1162,3,X,3,101162,331aa148,1162
aa1163,1,O,1,101163,493aa4,1163
aa1164,1,O,2,101164,231aa142,1164
aa1165,1,O,5,101165,98aa84,1165
aa1166,2,O,5,101166,491aa17,1166
aa1167,2,X,5,101167,123aa95,1167
aa1168,1,O,4,101168,267aa137,1168
aa1169,4,O,1,101169,110aa56,1169
aa1170,3,O,5,101170,14aa30,1170
aa1171,3,X,1,101171,160aa49,1171
aa1172,4,X,3,101172,428aa29,1172
aa1173,3,X,5,101173,126aa139,1173
aa1174,3,O,1,101174,312aa135,1174
aa1175,4,O,4,101175,468aa144,1175
aa1176,4,O,5,101176,418aa108,1176
aa1177,4,X,5,101177,478aa125,1177
aa1178,4,X,2,101178,107aa15,1178
aa1179,1,X,5,101179,333aa142,1179
aa1180,2,O,2,101180,395aa130,1180
aa1181,2,X,1,101181,159aa125,1181
aa1182,1,O,1,101182,225aa34,1182
aa1183,4,O,3,101183,87aa84,1183
aa1184,3,O,3,101184,34aa1,1184
aa1185,3,X,4,101185,477aa136,1185
aa1186,1,X,2,101186,445aa13,1186
aa1187,3,O,1,101187,288aa129,1187
aa1188,4,X,1,101188,167aa103,1188
aa1189,3,O,3,101189,269aa150,1189
aa1190,4,X,4,101190,420aa57,1190
aa1191,1,O,5,101191,462aa30,1191
aa1192,3,X,5,101192,479aa73,1192
aa1193,2,X,3,101193,174aa53,1193
aa1194,3,O,3,101194,150aa125,1194
aa1195,4,X,3,101195,413aa60,1195
aa1196,4,O,5,101196,268aa61,1196
aa1197,1,O,1,101197,469aa75,1197
aa1198,4,X,5,101198,31aa142,1198
aa1199,2,X,1,101199,91aa82,1199
aa1200,1,X,1,101200,267aa147,1200
aa1201,1,X,3,101201,477aa129,1201
aa1202,2,X,3,101202,448aa58,1202
aa1203,1,X,2,101203,21aa54,1203
aa1204,4,X,4,101204,30aa142,1204
aa1205,3,X,2,101205,21aa140,1205
aa1206,1,O,3,101206,452aa146,1206
aa1207,4,X,1,101207,302aa43,1207
aa1208,4,X,1,101208,376aa82,1208
aa1209,1,X,1,101209,456aa27,1209
aa1210,1,X,4,101210,480aa48,1210
aa1211,4,X,4,101211,158aa18,1211
aa1212,1,X,4,101212,402aa76,1212
aa1213,3,X,3,101213,251aa73,1213
aa1214,4,O,1,101214,149aa11,1214
aa1215,4,X,2,101215,62aa42,1215
aa1216,2,O,3,101216,55aa87,1216
aa1217,3,O,3,101217,146aa37,1217
aa1218,4,X,2,101218,112aa123,1218
aa1219,4,O,2,101219,417aa114,1219
aa1220,3,X,4,101220,264aa109,1220
aa1221,1,O,1,101221,361aa16,1221
aa1222,4,X,5,101222,471aa84,1222
aa1223,2,X,4,101223,296aa94,1223
aa1224,2,O,3,101224,142aa143,1224
aa1225,1,O,2,101225,369aa45,1225
aa1226,3,X,2,101226,255aa127,1226
aa1227,2,X,1,101227,254aa31,1227
aa1228,1,X,3,101228,240aa114,1228
aa1229,2,O,3,101229,241aa92,1229
aa1230,4,O,4,101230,463aa84,1230
aa1231,1,X,5,101231,192aa129,1231
aa1232,4,X,1,101232,375aa25,1232
aa1233,1,O,3,101233,39aa150,1233
aa1234,4,O,4,101234,168aa37,1234
aa1235,4,O,2,101235,295aa55,1235
aa1236,2,X,3,101236,9aa67,1236
aa1237,1,O,2,101237,283aa121,1237
aa1238,3,O,5,101238,179aa24,1238
aa1239,3,X,4,101239,20aa2,1239
aa1240,3,X,5,101240,201aa63,1240
aa1241,2,X,3,101241,476aa88,1241
aa1242,1,O,5,101242,276aa131,1242
aa1243,4,X,3,101243,154aa31,1243
aa1244,1,X,4,101244,117aa61,1244
aa1245,2,X,4,101245,191aa93,1245
aa1246,2,O,3,101246,495aa78,1246
aa1247,3,O,3,101247,439aa118,1247
aa1248,3,X,4,101248,96aa118,1248
aa1249,4,X,5,101249,223aa144,1249
aa1250,3,X,2,101250,485aa105,1250
aa1251,4,O,3,101251,242aa138,1251
aa1252,2,O,2,101252,292aa28,1252
aa1253,4,X,5,101253,298aa32,1253
aa1254,3,X,1,101254,420aa147,1254
aa1255,1,X,4,101255,313aa98,1255
aa1256,3,O,4,101256,368aa47,1256
aa1257,1,X,4,101257,353aa126,1257
aa1258,1,X,4,101258,485aa149,1258
aa1259,3,O,5,101259,80aa6,1259
aa1260,2,O,1,101260,255aa55,1260
aa1261,4,X,4,101261,371aa21,1261
aa1262,2,O,3,101262,410aa33,1262
aa1263,4,O,2,101263,24aa147,1263
aa1264,1,O,2,101264,477aa20,1264
aa1265,3,O,2,101265,283aa130,1265
aa1266,1,X,2,101266,75aa55,1266
aa1267,3,X,4,101267,111aa84,1267
aa1268,4,O,5,101268,33aa102,1268
aa1269,3,O,2,101269,431aa64,1269
aa1270,3,O,4,101270,178aa53,1270
aa1271,2,O,5,101271,283aa24,1271
aa1272,4,O,2,101272,346aa96,1272
aa1273,3,O,1,101273,91aa112,1273
aa1274,3,O,4,101274,464aa145,1274
aa1275,2,O,1,101275,15aa9,1275
aa1276,4,O,1,101276,271aa27,1276
aa1277,2,X,5,101277,63aa110,1277
aa1278,3,O,4,101278,11aa12,1278
aa1279,2,O,5,101279,439aa112,1279
aa1280,1,O,5,101280,169aa84,1280
aa1281,2,X,4,101281,321aa55,1281
aa1282,3,X,2,101282,90aa86,1282
aa1283,2,O,1,101283,19aa124,1283
aa1284,2,X,2,101284,43aa48,1284
aa1285,1,O,1,101285,225aa67,1285
aa1286,2,X,4,101286,77aa118,1286
aa1287,3,X,5,101287,300aa83,1287
aa1288,4,X,4,101288,231aa15,1288
aa1289,2,X,3,101289,300aa137,1289
aa1290,4,O,2,101290,433aa107,1290
aa1291,2,X,4,101291,210aa150,1291
aa1292,3,X,1,101292,169aa13,1292
